chr,low,high,lodcolumn
7,NA,NA,White
2,NA,NA,Black
2,89575107,89622329,StarWithoutWhite
10,41392968,43777594,Lived
2,85592402,85633521,Zombie
2,78097385,78114387,DTemp3
2,78243261,78276701,DTemp3
2,87630427,87776302,DTemp3
9,34364179,35593035,DTemp3
9,37217967,40566478,DTemp3
10,42324477,43805094,DTemp3
2,78097385,87776302,PWeight3
10,42324477,43805094,PWeight3
11,26041159,26965701,PWeight3
12,16699209,25178260,RE_p4_p5
15,71517331,72449441,RE_p7_p8
