Best Array,Sample Name
a550810-4323468-051118-541_D03,Schneider_A39
a550810-4323468-051118-541_D04,Schneider_A40
a550810-4323468-051118-541_D05,Schneider_A41
a550810-4323468-051118-541_D06,Schneider_A42
a550810-4323468-051118-541_D07,Schneider_A43
a550810-4323468-051118-541_D08,Schneider_A44
a550810-4323468-051118-541_D09,Schneider_A45
a550810-4323468-051118-541_D10,Schneider_A46
a550810-4323468-051118-541_D11,Schneider_A47
a550810-4323468-051118-541_D12,Schneider_A48
a550810-4323468-051118-541_E01,Schneider_A49
a550810-4323468-051118-541_E02,Schneider_A52
a550810-4323468-051118-541_E03,Schneider_B53
a550810-4350750-012419-164_G12,Schneider_B53.1
a550810-4323468-051118-541_E04,Schneider_B54
a550810-4323468-051118-541_E05,Schneider_B58
a550810-4350750-012419-164_H01,Schneider_B58.1
a550810-4323468-051118-541_E06,Schneider_B59
a550810-4323468-051118-541_E07,Schneider_B63
a550810-4350750-012419-164_H02,Schneider_B63.1
a550810-4323468-051118-541_E08,Schneider_B64
a550810-4323468-051118-541_E09,Schneider_B68
a550810-4350750-012419-164_H05,Schneider_B68.1
a550810-4323468-051118-541_E10,Schneider_B69
a550810-4350750-012419-164_H06,Schneider_B69.1
a550810-4323468-051118-541_E11,Schneider_B73
a550810-4350750-012419-164_H03,Schneider_B73.1
a550810-4323468-051118-541_E12,Schneider_B74
a550810-4350750-012419-164_H04,Schneider_B74.1
a550810-4323468-051118-541_F01,Schneider_B78
a550810-4350750-012419-164_H07,Schneider_B78.1
a550810-4323468-051118-541_F02,Schneider_B79
a550810-4350750-012419-164_H08,Schneider_B79.1
a550810-4323468-051118-541_F03,Schneider_B83
a550810-4350750-012419-164_H09,Schneider_B83.1
a550810-4323468-051118-541_F04,Schneider_B84
a550810-4350750-012419-164_H10,Schneider_B84.1
a550810-4323468-051118-541_F05,Schneider_B88
a550810-4350750-012419-164_H11,Schneider_B88.1
a550810-4323468-051118-541_F06,Schneider_B89
a550810-4350750-012419-164_H12,Schneider_B89.1
a550810-4323468-051118-542_A01,Schneider_C093
a550810-4323468-051118-542_A02,Schneider_C094
a550810-4323468-051118-542_A03,Schneider_C095
a550810-4323468-051118-542_A04,Schneider_C096
a550810-4323468-051118-543_A05,Schneider_C097
a550810-4323468-051118-543_A06,Schneider_C098
a550810-4323468-051118-543_A07,Schneider_C099
a550810-4323468-051118-543_A08,Schneider_C100
a550810-4323468-051118-543_A09,Schneider_C101
a550810-4323468-051118-543_A10,Schneider_C102
a550810-4323468-051118-543_A11,Schneider_C103
a550810-4323468-051118-542_A12,Schneider_C104
a550810-4323468-051118-542_B01,Schneider_C105
a550810-4323468-051118-542_B02,Schneider_C106
