Best Array,Sample Name
a550810-4369995-123019-008_A10,Schneider_H480
a550810-4369995-123019-008_A11,Schneider_H481
a550810-4369995-123019-008_A12,Schneider_H482
a550810-4369995-123019-008_B01,Schneider_H483
a550810-4369995-123019-008_B02,Schneider_H484
a550810-4369995-123019-008_B03,Schneider_H485
a550810-4369995-123019-008_B04,Schneider_H486
a550810-4369995-123019-008_B05,Schneider_H487
a550810-4369995-123019-008_B06,Schneider_H488
a550810-4369995-123019-008_B07,Schneider_H489
a550810-4369995-123019-008_B08,Schneider_H490
a550810-4369995-123019-008_B09,Schneider_H491
a550810-4369995-123019-008_B10,Schneider_H492
a550810-4369995-123019-008_B11,Schneider_H493
a550810-4369995-123019-008_B12,Schneider_H494
a550810-4369995-123019-008_C01,Schneider_H495
a550810-4369995-123019-008_C02,Schneider_H496
a550810-4369995-123019-008_C03,Schneider_H497
a550810-4369995-123019-008_C04,Schneider_H498
a550810-4369995-123019-008_C05,Schneider_H499
a550810-4369995-123019-008_C06,Schneider_H500
a550810-4369995-123019-008_C07,Schneider_H501
a550810-4369995-123019-008_C08,Schneider_H502
a550810-4369995-123019-008_C09,Schneider_H503
a550810-4369995-123019-008_C10,Schneider_H504
a550810-4369995-123019-008_C11,Schneider_H505
a550810-4369995-123019-008_C12,Schneider_H506
a550810-4369995-123019-008_D01,Schneider_H507
a550810-4369995-123019-008_D02,Schneider_H508
a550810-4369995-123019-008_D03,Schneider_H509
a550810-4369995-123019-008_D04,Schneider_H510
a550810-4369995-123019-008_D05,Schneider_H511
a550810-4369995-123019-008_D06,Schneider_H512
a550810-4369995-123019-008_D07,Schneider_H513
a550810-4369995-123019-008_D08,Schneider_H514
a550810-4369995-123019-008_D09,Schneider_H515
a550810-4369995-123019-008_D10,Schneider_H516
a550810-4369995-123019-008_D11,Schneider_H517
a550810-4369995-123019-008_D12,Schneider_H518
a550810-4369995-123019-008_E01,Schneider_H519
a550810-4369995-123019-008_E02,Schneider_H520
a550810-4369995-123019-008_E03,Schneider_H521
a550810-4369995-123019-008_E04,Schneider_H522
a550810-4369995-123019-008_E05,Schneider_H523
a550810-4369995-123019-008_E06,Schneider_H524
a550810-4369995-123019-008_E07,Schneider_H525
a550810-4369995-123019-008_E08,Schneider_H526
a550810-4369995-123019-008_E09,Schneider_H527
a550810-4369995-123019-008_E10,Schneider_H528
a550810-4369995-123019-008_E11,Schneider_H529
a550810-4369995-123019-008_E12,Schneider_H530
a550810-4369995-123019-008_F01,Schneider_H531
a550810-4369995-123019-008_F02,Schneider_H532
a550810-4369995-123019-008_F03,Schneider_H533
a550810-4369995-123019-008_F04,Schneider_H534
a550810-4369995-123019-008_F05,Schneider_H535
a550810-4369995-123019-008_F06,Schneider_H536
a550810-4369995-123019-008_F07,Schneider_H537
a550810-4369995-123019-008_F08,Schneider_H538
a550810-4369995-123019-008_F09,Schneider_H539
a550810-4369995-123019-008_F10,Schneider_H540
a550810-4369995-123019-008_F11,Schneider_H541
a550810-4369995-123019-008_F12,Schneider_H542
a550810-4369995-123019-008_G01,Schneider_H543
a550810-4369995-123019-008_G02,Schneider_H544
a550810-4369995-123019-008_G03,Schneider_H545
a550810-4369995-123019-008_G04,Schneider_H546
a550810-4369995-123019-008_G05,Schneider_H547
a550810-4369995-123019-008_G06,Schneider_H548
a550810-4369995-123019-008_G07,Schneider_H549
a550810-4369995-123019-008_G08,Schneider_H550
a550810-4369995-123019-008_G09,Schneider_G398.1
a550810-4369995-123019-008_G10,Schneider_G418.1
a550810-4369995-123019-008_G11,Schneider_G430.1
a550810-4369995-123019-008_G12,Schneider_G434.1
a550810-4369995-123019-008_H01,Schneider_G458.1
a550810-4369995-123019-008_H02,Schneider_G459.1
a550810-4369995-123019-008_H03,Schneider_D172.1
a550810-4369995-123019-008_H04,Schneider_B55.1
a550810-4369995-123019-008_H05,Schneider_B86.1
a550810-4369995-123019-008_H06,Schneider_B87.1
a550810-4369995-123019-008_H07,Schneider_B91.1
a550810-4369995-123019-008_H08,Schneider_B92
a550810-4369995-123019-008_H09,ACOD1WT1
a550810-4369995-123019-008_H10,ACOD1WT2
a550810-4369995-123019-008_H11,ACOD1Mut1
a550810-4369995-123019-008_H12,ACOD1Mut2
